Player_ID,PassesCompleted,PassesAttempted,PasCompleted%,PassingDist,Progressive_PassesDist,ShortPasses,ShortPassesAtt,ShortPasses%,MediumPasses,MediumPassesAtt,MediumPasses%,LongPasses,LongPassesAtt,LongPasses%,Assists,PassesLeadingtoShot,Passes_into_final3rd
504,62,72,86.1,1104,406,28,30,93.3,24,28,85.7,8,12,66.7,0,2,6
505,24.2,36.5,66.4,401.6,86.1,13.2,16.5,80.4,8.06,12.9,62.5,2.58,4.52,57.1,0,0.97,0.32
506,9.62,16.7,57.5,139.4,50.8,5.38,7.5,71.8,2.5,4.81,52,0.96,1.54,62.5,0,0.96,1.15
507,26.7,38.3,69.6,391.7,100,10,13.3,75,15,18.3,81.8,0,1.67,0,0,1.67,0
508,39.4,47.2,83.6,771,213.3,15.2,16.8,90.6,18.5,21.2,87.5,5.29,6.96,76.1,0,0.39,4.22
509,20,27.5,72.7,322.5,40,12.5,12.5,100,7.5,12.5,60,0,0,0,0,0,0
510,35.6,44.3,80.4,563.2,175.4,18.8,21,89.7,12.8,16.4,77.5,2.75,4.42,62.3,0.29,1.52,2.17
511,10,10,100,290,170,0,0,0,10,10,100,0,0,0,0,0,0
512,28.6,35.7,80,371.4,47.1,17.1,18.6,92.3,7.14,10,71.4,1.43,2.86,50,0,1.43,1.43
513,30,36,83.3,401.2,77.8,18.8,21.2,88.7,8.8,10.8,81.5,1,1.6,62.5,0.4,1.2,2.8
514,37.4,50,74.8,609.2,226.1,19.4,23.4,83.1,14.7,18.1,80.9,2.2,4.97,44.3,0.5,1.95,3.65
515,35.1,48.1,73,512.9,204.5,21.4,24.6,86.9,11.2,15,74.4,1.85,5.15,35.8,0.08,0.23,1.62
516,37.9,48.7,77.9,585.1,230.1,19.8,22.5,88,16.2,20.2,80.1,1.49,4.33,34.5,0,0.37,3.13
517,44.7,52.9,84.4,950.4,359.3,12.4,13.3,92.9,25.2,26.9,93.5,6.77,11.8,57.4,0.05,0.21,3.28
518,29.4,40.9,71.8,454.7,161.3,17.2,21.6,79.7,8.44,10.9,77.1,2.5,5.94,42.1,0,1.25,1.56
519,44.2,54.3,81.3,945.1,342.9,11.1,13.5,81.8,25.4,28.2,90.2,6.77,10.5,64.7,0.15,0.15,2.92
520,19,23.2,81.9,346.5,82.3,8.06,9.35,86.2,8.71,10.3,84.4,1.94,2.9,66.7,0,0.65,2.58
521,34.5,42.5,81.2,564.4,204.8,16.8,19.1,88.4,14.4,16.8,85.6,2.63,4.53,58.1,0,0.21,1.37
522,25.7,44.3,58.1,411.4,225.7,17.1,24.3,70.6,5.71,8.57,66.7,2.86,8.57,33.3,0,1.43,2.86
523,29.3,36.3,80.7,418.2,82.5,17.8,19.3,92.2,7.83,9.5,82.5,2,3.67,54.5,0.17,2,2.33
524,50,70,71.4,1110,150,20,30,66.7,20,20,100,10,10,100,0,0,0
525,39.9,46.4,86.1,789.3,263.7,10.7,12.1,88.7,24.7,26.8,92.2,3.77,6.23,60.4,0,0,2.47
526,49.5,55.7,88.8,1014.3,348.2,14.1,15.3,92,28.3,30.1,93.9,6.16,9.02,68.2,0,0.12,3.54
527,13.6,21,64.9,157.5,31.9,9.18,11.6,78.9,2.36,3.73,63.4,0.45,1.55,29.4,0.18,1.09,1.09
528,32.5,40.9,79.3,533,114.9,17.2,19.4,88.3,11.1,13.4,83.1,3.02,5.28,57.1,0,1.51,3.21
529,74.3,83.1,89.4,1326.7,549.6,31.6,34.7,91,34.7,37.8,91.7,6.86,8.63,79.5,0,0.39,4.51
530,39.4,49.5,79.6,631.9,126.9,21.8,24.5,89.2,13.4,16.7,79.9,3.37,5.54,60.9,0.36,2.77,1.93
531,49,56.4,86.8,1054.6,365.3,12.2,13.8,88.8,29.3,31,94.6,6.98,10,69.8,0,0.2,2.89
532,37.6,44.5,84.4,627.8,186.8,18.2,20.4,89.3,15.3,17.8,86,2.98,3.87,77.1,0,1.21,4.6
533,35.6,45.2,78.7,1025.6,644.6,5.63,5.63,100,14.4,14.6,98.9,15.4,24.8,62.1,0,0,0.58
534,44.7,54.6,81.9,799.1,280.8,18.7,21.5,86.9,21.7,24.8,87.7,3.59,5.87,61.1,0.11,0.98,3.26
535,20,36.7,54.5,253.3,83.3,16.7,23.3,71.4,3.33,10,33.3,0,0,0,0,0,0
536,30.8,39.2,78.8,518.1,161.8,14.8,16.8,88.1,12.5,14.6,85.9,2.67,4.79,55.7,0.12,1.27,2.97
537,34.8,43.3,80.4,743.8,236.9,7.55,9.34,80.8,22.1,24.6,89.7,4.81,8.58,56,0,0.28,1.7
538,39,49.5,78.8,714.6,274.1,15.1,17.2,87.7,20.2,24.1,83.8,3.09,6.83,45.2,0,0.33,2.36
539,29.4,37.7,7.79E+01,568.9,257.8,11.1,12.4,89.3,13.9,15.9,87.3,4.13,7.69,53.6,0,0.14,2.73
540,33,45.7,72.4,617.4,284.1,12.3,14.9,82.5,17.5,22,79.6,2.75,6.81,40.4,0,0,2.9
541,32,37.5,85.5,456.8,100.1,18.2,20,91.1,9.62,10.6,90.5,1.77,2.28,77.8,0,0.76,2.41
542,30.3,45.9,66.2,495.7,216.2,15.3,19.8,77.4,11.2,17.6,63.7,2.24,4.66,48.1,0.17,0.86,1.9
543,20,30,66.7,266,46,13,18,72.2,7,8,87.5,0,0,0,0,0,0
544,22.9,28.6,80,341.4,8.57,12.9,12.9,100,8.57,11.4,75,1.43,4.29,33.3,0,1.43,0
545,27.3,34.7,7.85E+01,348.2,81.3,18.5,21.1,87.5,5.82,7.47,77.9,1.1,2.75,40,0,1.65,1.54
546,18.8,25.4,73.8,289.2,56.3,9.58,11.9,80.7,6.46,7.71,83.8,1.46,1.46,100,0.21,1.04,1.67
