Player_ID,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen
2651,60.9,1.11,16.9,27.1,17.6,1.11
2652,75.7,1.75,13.7,41.9,21.4,2.88
2653,55.6,5,15.6,19.4,20.6,1.88
2654,50.1,0.96,6.51,18.8,25.4,3.98
2655,34.8,0.1,3.64,15.6,16.7,4.55
2656,63.6,3.57,22.1,24.3,17.9,1.43
2657,140,0,50,60,30,10
2658,38.5,1.22,1.89,18.1,19.2,5.27
2659,67.1,2.57,17.7,24.3,26.3,4.57
2660,46.9,0.93,7.04,20.4,20.7,2.04
2661,60.2,3.64,18.9,29.3,12.4,1.09
2662,64.6,2.56,18.2,29.5,17.7,1.79
2663,53.3,0,10,25,18.3,1.67
2664,3,0,1,2,0,0
2665,51,3.04,18.5,19.1,14.1,2.22
2666,53.5,0.5,4.7,19.6,30.4,5.1
2667,34.7,26.9,33.8,0.6,0.33,0.27
2668,48.3,6.67,13.3,25,10,3.33
2669,47.1,42.9,47.1,0,0,0
2670,42.9,1.43,21.4,21.4,0,0
2671,63.2,0.16,3.65,18.6,41.6,6.51
2672,66,0.96,8.36,31.2,27.2,2.4
2673,54.4,4.44,25.3,26.9,2.67,1.11
2674,87.5,2.75,16.8,44.7,26.8,1.58
2675,39.4,0.77,2.5,17.7,19.4,4.04
2676,67.9,1.4,10.2,25.8,32.5,1.75
2677,40,34.7,39.4,0.59,0,0
2678,28.8,1.41,3.85,13.8,11.3,3.41
2679,61.2,2.8,18,20,24,2.8
2680,78,5,17,39,24,0
2681,51.8,11.5,32.7,17.9,1.27,0.99
2682,47.5,36.3,45,2.5,0,0
2683,61.7,6.14,29.1,29.7,3,0.5
2684,61.3,3.31,16.9,38.5,6.57,0.51
2685,62.5,0,2.5,20,40,7.5
2686,80,20,20,30,30,0
2687,56.8,0.86,5.61,23.7,28.2,4.06
2688,45.4,1.92,3.59,22.1,19.7,4.36
2689,42,0.68,5.65,19.6,17.4,1.43
